ID,Gene title,Gene symbol,Platform_ORF
56,dihydroxyacetone kinase,DAK2,YFL053W
57,Vam7p,VAM7,YGL212W
58,trifunctional dihydropteroate synthetase/dihydrohydroxymethylpterin pyrophosphokinase/dihydroneopterin aldolase FOL1,FOL1,YNL256W
59,protein anchor VAC8,VAC8,YEL013W
60,Tpo5p,TPO5,YKL174C
61,Emc1p,EMC1,YCL045C
62,GTP-binding protein RBG1,RBG1,YAL036C
63,amino acid transporter YHC3,YHC3,YJL059W
64,Tec1p,TEC1,YBR083W
65,delta(24(24(1)))-sterol reductase,ERG4,YGL012W
66,trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiaminase,THI20,YOL055C
67,TFIIH/NER complex subunit TFB1,TFB1,YDR311W
68,chromatin-silencing transcriptional regulator TUP1,TUP1,YCR084C
69,amidophosphoribosyltransferase,ADE4,YMR300C
70,tRNA-specific adenosine deaminase,TAD1,YGL243W
71,protein kinase PKP2,PKP2,YGL059W
72,Pac1p,PAC1,YOR269W
73,origin recognition complex subunit 6,ORC6,YHR118C
74,sphingosine N-acyltransferase LAC1,LAC1,YKL008C
75,tRNA:m4X modification enzyme,TRM13,YOL125W
76,Irc8p,IRC8,YJL051W
77,kinetochore-associated Ndc80 complex subunit NDC80,NDC80,YIL144W
78,Nsi1p,NSI1,YDR026C
79,GTPase NPA3,NPA3,YJR072C
80,omega-class glutathione transferase,ECM4,YKR076W
81,DEAD-box ATP-dependent RNA helicase DED1,DED1,YOR204W
82,Izh3p,IZH3,YLR023C
83,Skg3p,SKG3,YLR187W
84,Yea4p,YEA4,YEL004W
86,Fet4p,FET4,YMR319C
87,glutathione-disulfide reductase GLR1,GLR1,YPL091W
88,Sip5p,SIP5,YMR140W
89,Dig1p,DIG1,YPL049C
90,Agp3p,AGP3,YFL055W
91,acetylornithine transaminase,ARG8,YOL140W
92,DNA-directed DNA polymerase IV,POL4,YCR014C
93,branched-chain amino acid permease BAP2,BAP2,YBR068C
94,Rtt106p,RTT106,YNL206C
95,bifunctional N-glycosylase/AP lyase NTG1,NTG1,YAL015C
96,argininosuccinate synthase,ARG1,YOL058W
97,"GDP-Man:Man(1)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase",ALG2,YGL065C
98,Yvc1p,YVC1,YOR088W
99,Usv1p,USV1,YPL230W
100,IMP 5'-nucleotidase,ISN1,YOR155C
101,hypothetical protein,YGL114W,YGL114W
102,Nab3p,NAB3,YPL190C
103,homeodomain family transcription factor STE12,STE12,YHR084W
104,diphthamide synthase,RRT2,YBR246W
105,cyclin CLN3,CLN3,YAL040C
106,thiosulfate sulfurtransferase,TUM1,YOR251C
107,Elongator subunit ELP2,ELP2,YGR200C
108,methionyl-tRNA formyltransferase,FMT1,YBL013W
109,Xbp1p,XBP1,YIL101C
110,AMP-activated serine/threonine-protein kinase catalytic subunit SNF1,SNF1,YDR477W
111,sphinganine-1-phosphate aldolase DPL1,DPL1,YDR294C
112,long-chain fatty acid-CoA ligase FAA1,FAA1,YOR317W
113,Slx4p,SLX4,YLR135W
114,metallo-dependent hydrolase superfamily protein,YBR284W,YBR284W
115,hypothetical protein,YJL193W,YJL193W
116,Tog1p,TOG1,YER184C
117,putative sugar transporter,VPS73,YGL104C
118,DNA-(apurinic or apyrimidinic site) lyase APN2,APN2,YBL019W
119,glutamine amidotransferase subunit DUG3,DUG3,YNL191W
120,pseudo,FLO8,YER108C
121,"1,3-beta-glucanosyltransferase",GAS4,YOL132W
123,E3 ubiquitin-protein ligase RAD18,RAD18,YCR066W
124,Far8p,FAR8,YMR029C
125,Axl2p,AXL2,YIL140W
126,Spo74p,SPO74,YGL170C
127,Tbf1p,TBF1,YPL128C
128,Sgm1p,SGM1,YJR134C
129,malate dehydrogenase MDH3,MDH3,YDL078C
130,ribosome dissociation factor DOM34,DOM34,YNL001W
131,hypothetical protein,YJR061W,YJR061W
132,transcription factor IIF subunit TFG1,TFG1,YGR186W
134,Stu2p,STU2,YLR045C
135,microtubule-binding protein BIM1,BIM1,YER016W
136,tethering complex subunit VPS16,VPS16,YPL045W
137,stress-responsive transcriptional activator MSN4,MSN4,YKL062W
138,SAM complex subunit SAM35,SAM35,YHR083W
139,Sec20p,SEC20,YDR498C
140,Sas2p,SAS2,YMR127C
141,Tda3p,TDA3,YHR009C
142,Pch2p,PCH2,YBR186W
143,AAA family ATPase midasin,MDN1,YLR106C
144,serine--tRNA ligase SES1,SES1,YDR023W
145,Ngr1p,NGR1,YBR212W
146,sulfonate dioxygenase,JLP1,YLL057C
147,glycine--tRNA ligase,GRS1,YBR121C
148,phosphoric diester hydrolase,USB1,YLR132C
149,hypothetical protein,YDR131C,YDR131C
150,Pcf11p,PCF11,YDR228C
151,Afr1p,AFR1,YDR085C
152,Mss51p,MSS51,YLR203C
153,Paf1p,PAF1,YBR279W
154,Mkt1p,MKT1,YNL085W
155,Hat2p,HAT2,YEL056W
156,Sps2p,SPS2,YDR522C
157,protein-arginine N5-methyltransferase,RMT2,YDR465C
158,RNA-DNA hybrid ribonuclease,RNH1,YMR234W
159,Him1p,HIM1,YDR317W
160,putative oxidoreductase,YNL181W,YNL181W
161,U4/U6-U5 snRNP complex subunit PRP31,PRP31,YGR091W
162,Apl6p,APL6,YGR261C
163,phenylalanine--tRNA ligase subunit alpha,FRS2,YFL022C
164,putative carboxylic ester hydrolase,YOR022C,YOR022C
165,metallodipeptidase,DUG1,YFR044C
166,Sar family guanine nucleotide exchange factor SEC12,SEC12,YNR026C
167,Ted1p,TED1,YIL039W
168,Trs85p,TRS85,YDR108W
169,Rad14p,RAD14,YMR201C
170,B-type cyclin CLB6,CLB6,YGR109C
171,Atp11p,ATP11,YNL315C
172,Tms1p,TMS1,YDR105C
173,transcription factor HAP4,HAP4,YKL109W
174,Ivy1p,IVY1,YDR229W
175,hypothetical protein,YMR315W,YMR315W
176,Gtr2p,GTR2,YGR163W
177,DNA-directed RNA polymerase III subunit C34,RPC34,YNR003C
178,Upc2p,UPC2,YDR213W
179,sterol esterase,YEH1,YLL012W
180,proteasome regulatory particle base subunit RPT3,RPT3,YDR394W
181,Swt21p,SWT21,YNL187W
183,dynamin-related GTPase MGM1,MGM1,YOR211C
184,amphiphysin,RVS167,YDR388W
185,CAAX prenyl protease,RCE1,YMR274C
186,Boi2p,BOI2,YER114C
187,transcriptional modulator,WTM1,YOR230W
188,flavin adenine dinucleotide transporter FLX1,FLX1,YIL134W
189,Nud1p,NUD1,YOR373W
190,protein kinase FMP48,FMP48,YGR052W
191,Spc98p,SPC98,YNL126W
192,Crp1p,CRP1,YHR146W
193,cleavage polyadenylation factor subunit YSH1,YSH1,YLR277C
194,hypothetical protein,YPR114W,YPR114W
195,tRNA ligase,TRL1,YJL087C
196,mismatch repair ATPase MSH2,MSH2,YOL090W
197,sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating),ERG26,YGL001C
198,multidrug transporter,QDR1,YIL120W
199,Vac14p,VAC14,YLR386W
200,DNA-directed DNA polymerase alpha subunit POL12,POL12,YBL035C
201,amidase,NTA1,YJR062C
202,Mum3p,MUM3,YOR298W
203,Ccm1p,CCM1,YGR150C
204,Swi3p,SWI3,YJL176C
205,Sok2p,SOK2,YMR016C
206,trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1,MIS1,YBR084W
207,Arp6p,ARP6,YLR085C
208,Sea4p,SEA4,YBL104C
209,tRNA threonylcarbamoyladenosine dehydratase,TCD1,YHR003C
210,cAMP-dependent protein kinase catalytic subunit TPK3,TPK3,YKL166C
211,phosphatidate phosphatase PAH1,PAH1,YMR165C
212,sphingosine hydroxylase,SUR2,YDR297W
213,ATP-dependent DNA/RNA helicase,DBP9,YLR276C
214,Arc40p,ARC40,YBR234C
215,putative metallocarboxypeptidase,ECM14,YHR132C
216,protein serine/threonine kinase activating protein DBF4,DBF4,YDR052C
217,Sbe22p,SBE22,YHR103W
218,glutamate N-acetyltransferase,ARG7,YMR062C
219,phosphatidylglycerol phospholipase,PGC1,YPL206C
220,Slf1p,SLF1,YDR515W
221,tyrosine protein kinase SWE1,SWE1,YJL187C
222,Zip1p,ZIP1,YDR285W
223,bifunctional farnesyl-diphosphate farnesyltransferase/squalene synthase,ERG9,YHR190W
224,mismatch repair ATPase MLH1,MLH1,YMR167W
225,Ats1p,ATS1,YAL020C
226,AAA family ATPase AFG3,AFG3,YER017C
227,F1F0 ATP synthase subunit beta,ATP2,YJR121W
228,GPI-anchor transamidase,GPI8,YDR331W
229,Ltv1p,LTV1,YKL143W
230,carboxypeptidase C PRC1,PRC1,YMR297W
231,putative acyltransferase,CST26,YBR042C
232,MutS family protein MSH4,MSH4,YFL003C
233,GPI-anchor transamidase subunit GAA1,GAA1,YLR088W
234,mRNA splicing protein SYF1,SYF1,YDR416W
235,ATP-binding cassette permease MDL1,MDL1,YLR188W
236,"1,3-beta-glucanosyltransferase",GAS5,YOL030W
237,prephenate dehydrogenase (NADP(+)),TYR1,YBR166C
238,hypothetical protein,YGR130C,YGR130C
239,Vta1p,VTA1,YLR181C
240,pyridoxine biosynthesis protein SNZ1,SNZ1,YMR096W
241,Vps75p,VPS75,YNL246W
242,Pet8p,PET8,YNL003C
243,Nat4p,NAT4,YMR069W
244,GET complex subunit GET1,GET1,YGL020C
245,Utp30p,UTP30,YKR060W
246,hypothetical protein,YDL129W,YDL129W
247,cationic amino acid transporter,RTC2,YBR147W
248,hypothetical protein,YOR385W,YOR385W
249,putative signal sequence-binding GTPase GPN3,GPN3,YLR243W
250,putative ammonium permease ATO3,ATO3,YDR384C
251,protein-transporting protein BCP1,BCP1,YDR361C
252,inositol monophosphate 1-phosphatase INM1,INM1,YHR046C
253,Ady2p,ADY2,YCR010C
254,Lnp1p,LNP1,YHR192W
255,MIND complex subunit MTW1,MTW1,YAL034W-A
256,Alf1p,ALF1,YNL148C
257,RNase P/RNase MRP complex subunit,POP4,YBR257W
258,mitochondrial 54S ribosomal protein YmL6,YML6,YML025C
259,Vab2p,VAB2,YEL005C
260,putative tyrosine protein phosphatase SIW14,SIW14,YNL032W
261,hypothetical protein,YMR178W,YMR178W
262,prohibitin subunit PHB1,PHB1,YGR132C
263,histone acetyltransferase YNG2,YNG2,YHR090C
264,translation initiation factor 6,TIF6,YPR016C
265,Rab family GTPase YPT1,YPT1,YFL038C
267,Rmd6p,RMD6,YEL072W
268,translocation channel protein TIM22,TIM22,YDL217C
269,Slx9p,SLX9,YGR081C
270,mitochondrial 54S ribosomal protein YmL16,MRPL6,YHR147C
271,Rmp1p,RMP1,YLR145W
272,Irc6p,IRC6,YFR043C
273,Ina22p,INA22,YIR024C
274,DUP240 family protein,YAR028W,YAR028W
275,Pcl5p,PCL5,YHR071W
276,hypothetical protein,YMR090W,YMR090W
277,Yng1p,YNG1,YOR064C
278,Skg1p,SKG1,YKR100C
279,TRAPP subunit TRS23,TRS23,YDR246W
280,Bsc2p,BSC2,YDR275W
281,carbonate dehydratase NCE103,NCE103,YNL036W
282,Dcg1p,DCG1,YIR030C
284,Yaf9p,YAF9,YNL107W
285,nucleoside-triphosphatase,FAP7,YDL166C
286,Shr5p,SHR5,YOL110W
287,Ugx2p,UGX2,YDL169C
288,Lrp1p,LRP1,YHR081W
290,Met28p,MET28,YIR017C
291,Taf13p,TAF13,YML098W
292,succinate dehydrogenase membrane anchor subunit SDH4,SDH4,YDR178W
293,peptide alpha-N-acetyltransferase subunit NAT5,NAT5,YOR253W
294,Mnd1p,MND1,YGL183C
295,,,YHR093W
296,adenine phosphoribosyltransferase APT1,APT1,YML022W
298,hypothetical protein,YGR273C,YGR273C
299,adenine phosphoribosyltransferase APT2,APT2,YDR441C
300,,,YLL059C
301,Arg80p,ARG80,YMR042W
302,phosphatidylglycerophosphatase,GEP4,YHR100C
303,U6 snRNA complex subunit LSM4,LSM4,YER112W
304,E2 ubiquitin-protein ligase peroxin 4,PEX4,YGR133W
305,import motor complex subunit PAM16,PAM16,YJL104W
306,Emi1p,EMI1,YDR512C
307,,,YFR054C
308,Spp2p,SPP2,YOR148C
309,"beta-1,3-glucan linked protein",PIR5,YJL160C
310,Fhn1p,FHN1,YGR131W
311,signal peptidase complex subunit SPC2,SPC2,YML055W
312,hypothetical protein,YER084W,YER084W
313,centromeric DNA-binding histone H3-like protein CSE4,CSE4,YKL049C
314,Zeo1p,ZEO1,YOL109W
315,ribonuclease P,POP8,YBL018C
316,hypothetical protein,YBR013C,YBR013C
317,,,YDR015C
318,,,YKL031W
319,,,YMR057C
321,hypothetical protein,YGL015C,YGL015C
322,,,YML122C
323,putative isoleucine biosynthesis protein HMF1,HMF1,YER057C
324,,,YGR045C
325,,,YKL115C
326,DNA-directed RNA polymerase III core subunit RPC11,RPC11,YDR045C
327,,,YLR255C
328,hypothetical protein,YBL044W,YBL044W
329,Gpg1p,GPG1,YGL121C
330,Mtc7p,MTC7,YEL033W
331,ribosomal 60S subunit protein L22B,RPL22B,YFL034C-A
332,hypothetical protein,YLR297W,YLR297W
333,,,YDR157W
334,,,YDL242W
335,mitochondrial pyruvate carrier,MPC2,YHR162W
336,Zds1p,ZDS1,YMR273C
337,transcription elongation factor SPT5,SPT5,YML010W
338,glutamine--tRNA ligase,GLN4,YOR168W
339,Hgh1p,HGH1,YGR187C
340,cytoskeletal protein-binding protein SLA1,SLA1,YBL007C
341,cysteine-S-conjugate beta-lyase IRC7,IRC7,YFR055W
342,protein kinase PKH3,PKH3,YDR466W
343,putative hydrolase,YDR444W,YDR444W
344,formin BNR1,BNR1,YIL159W
345,phosphatidylserine decarboxylase 1,PSD1,YNL169C
346,telomere-binding protein CDC13,CDC13,YDL220C
347,Bud27p,BUD27,YFL023W
348,isoleucine--tRNA ligase ILS1,ILS1,YBL076C
349,alcohol O-acetyltransferase,ATF2,YGR177C
350,putative flavin adenine dinucleotide transporter,YOR365C,YOR365C
351,serine/threonine protein kinase YAK1,YAK1,YJL141C
352,Rho family guanine nucleotide exchange factor TUS1,TUS1,YLR425W
353,Taf12p,TAF12,YDR145W
354,Hot1p,HOT1,YMR172W
355,Lam5p,LAM5,YFL042C
356,Esl1p,ESL1,YIL151C
357,sterol acyltransferase,ARE1,YCR048W
358,Amf1p,AMF1,YOR378W
359,serine/threonine protein kinase KNS1,KNS1,YLL019C
360,"putative 1,3-beta-D-glucan synthase",FKS3,YMR306W
361,Y' element ATP-dependent helicase protein 1 copy 2,YRF1-2,YER190W
362,Y' element ATP-dependent helicase,YFL066C,YFL066C
363,glutathione exchanger,GEX1,YCL073C
364,gag-pol fusion protein,YFL002W-A,YFL002W-A
365,acid phosphatase PHO5,PHO5,YBR093C
366,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase,THI13,YDL244W
367,gag protein,YCL020W,YCL020W
368,Lsb3p,LSB3,YFR024C-A
369,ribosomal 60S subunit protein L4B,RPL4B,YDR012W
370,basic amino acid transporter,VBA3,YCL069W
371,phosphopyruvate hydratase ERR3,ERR3,YMR323W
373,translation elongation factor EF-1 alpha,TEF1,YPR080W
374,Hsp70 family ATPase SSA1,SSA1,YAL005C
375,IMP dehydrogenase IMD3,IMD3,YLR432W
376,Cos1p,COS1,YNL336W
377,phosphopyruvate hydratase ERR2,ERR2,YPL281C
378,hypothetical protein,YBL113C,YBL113C
379,Hsp70 family ATPase SSB2,SSB2,YNL209W
380,hypothetical protein,YNL018C,YNL018C
382,Cos6p,COS6,YGR295C
383,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase,THI5,YFL058W
384,ribosomal 60S subunit protein L26B,RPL26B,YGR034W
385,hypothetical protein,YLR162W,YLR162W-
386,,,YJR037W
387,seripauperin PAU19,PAU19,YMR325W
388,,,YGL217C
389,ribosomal 40S subunit protein S26B,RPS26B,YER131W
390,,,YKR040C
391,,,YKL223W
392,,,YDR426C
393,,,YHL045W
394,,,YPR177C
395,seripauperin PAU10,PAU10,YDR542W
396,ribosomal 40S subunit protein S22B,RPS22B,YLR367W
397,,,YKL053W
398,,,YOR169C
399,,,YMR153C-A
400,,,YCL065W
401,,,YLR217W
402,,,YPL136W
403,,,YDR442W
404,,,YLL047W
405,,,YMR075C-A
406,,,YGL109W
441,hypothetical protein,YMR317W,YMR317W
442,chitin synthase CHS1,CHS1,YNL192W
443,hypothetical protein,YPR117W,YPR117W
444,DNA-directed DNA polymerase alpha catalytic subunit POL1,POL1,YNL102W
445,acetyl-CoA carboxylase ACC1,ACC1,YNR016C
447,Rrp5p,RRP5,YMR229C
448,putative Na(+)-exporting P-type ATPase ENA5,ENA5,YDR038C
449,hypothetical protein,YFR016C,YFR016C
450,DNA-binding E3 ubiquitin-protein ligase SNT2,SNT2,YGL131C
452,histone methyltransferase SET1,SET1,YHR119W
453,hypothetical protein,YLR278C,YLR278C
454,SBF complex DNA-binding subunit SWI4,SWI4,YER111C
455,Ras GTPase activating protein IRA2,IRA2,YOL081W
456,ubiquitin-specific protease UBP2,UBP2,YOR124C
457,Nup188p,NUP188,YML103C
458,gag-pol fusion protein,YBL100W-B,YBL101W-B
459,transcription factor TFIIIC subunit TFC3,TFC3,YAL001C
460,GTPase-activating protein IRA1,IRA1,YBR140C
461,Irr1p,IRR1,YIL026C
462,exportin CRM1,CRM1,YGR218W
463,tricalbin,TCB2,YNL087W
464,gag-pol fusion protein,YJR027W,YJR027W
465,phosphoribosylaminoimidazole carboxylase ADE2,ADE2,YOR128C
466,hypothetical protein,YHR131C,YHR131C
467,bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase,"ADE5,7",YGL234W
469,bifunctional protein farnesyltransferase/protein geranylgeranyltransferase,RAM2,YKL019W
470,protein phosphatase regulator BUD14,BUD14,YAR014C
471,Vps41p,VPS41,YDR080W
472,proline dehydrogenase,PUT1,YLR142W
473,Lmo1p,LMO1,YLL007C
474,Taf1p,TAF1,YGR274C
475,Rod1p,ROD1,YOR018W
476,UV-damaged DNA-binding protein RAD7,RAD7,YJR052W
477,glutamate--tRNA ligase GUS1,GUS1,YGL245W
478,Nar1p,NAR1,YNL240C
479,4-amino-4-deoxychorismate synthase,ABZ1,YNR033W
480,glycogen (starch) synthase GSY2,GSY2,YLR258W
481,heat shock protein HSP42,HSP42,YDR171W
482,Haa1p,HAA1,YPR008W
483,C-22 sterol desaturase,ERG5,YMR015C
484,glutamate dehydrogenase (NADP(+)) GDH1,GDH1,YOR375C
485,kynurenine 3-monooxygenase,BNA4,YBL098W
486,coproporphyrinogen oxidase,HEM13,YDR044W
487,Scy1p,SCY1,YGL083W
488,Sec39p,SEC39,YLR440C
489,acetate--CoA ligase 1,ACS1,YAL054C
490,ER oxidoreductin,ERO1,YML130C
491,mitophagy protein ATG32,ATG32,YIL146C
492,hypothetical protein,YJR124C,YJR124C
493,allantoinase,DAL1,YIR027C
494,D-lactate dehydrogenase,DLD2,YDL178W
496,Spo21p,SPO21,YOL091W
497,Srl2p,SRL2,YLR082C
498,Cef1p,CEF1,YMR213W
499,mRNA splicing protein MSL5,MSL5,YLR116W
500,trehalose-phosphatase TPS2,TPS2,YDR074W
501,methionine aminopeptidase MAP1,MAP1,YLR244C
502,"glucan 1,3-beta-glucosidase",SPR1,YOR190W
503,hypothetical protein,YMR244W,YMR244W
504,Spn1p,SPN1,YPR133C
505,Mss11p,MSS11,YMR164C
506,putative GTPase MTG2,MTG2,YHR168W
507,Vts1p,VTS1,YOR359W
508,Hfi1p,HFI1,YPL254W
509,decapping enzyme complex catalytic subunit,DCP2,YNL118C
510,Psp1p,PSP1,YDR505C
511,cyclin-dependent protein serine/threonine kinase regulator SSN8,SSN8,YNL025C
512,Tim54p,TIM54,YJL054W
513,multifunctional nuclease RAD27,RAD27,YKL113C
514,rRNA-processing protein LAS1,LAS1,YKR063C
515,chaperone ATPase HSP104,HSP104,YLL026W
517,Hpc2p,HPC2,YBR215W
518,glucose N-acetyltransferase,GNT1,YOR320C
519,hypothetical protein,YML119W,YML119W
520,origin recognition complex subunit 5,ORC5,YNL261W
521,Golgi transport complex subunit COG6,COG6,YNL041C
522,indolepyruvate decarboxylase 6,PDC6,YGR087C
523,mRNA splicing protein SLU7,SLU7,YDR088C
524,hypothetical protein,YPR003C,YPR003C
525,Tlg2p,TLG2,YOL018C
526,protein-transporting protein SEC63,SEC63,YOR254C
527,GTPase-activating protein MRS6,MRS6,YOR370C
528,Ysc83p,YSC83,YHR017W
529,Age1p,AGE1,YDR524C
530,Sas4p,SAS4,YDR181C
531,chromatin-binding protein CTF4,CTF4,YPR135W
532,F1F0 ATP synthase subunit gamma,ATP3,YBR039W
533,hypothetical protein,YPR148C,YPR148C
534,S-adenosylmethionine-dependent methyltransferase,SET5,YHR207C
535,Pex8p,PEX8,YGR077C
536,Ioc3p,IOC3,YFR013W
537,hypothetical protein,YER156C,YER156C
538,protein-lysine N-methyltransferase,RKM2,YDR198C
539,aromatic amino acid transmembrane transporter TAT2,TAT2,YOL020W
540,hypothetical protein,YLR352W,YLR352W
541,hypothetical protein,YLR173W,YLR173W
542,hypothetical protein,YDR249C,YDR249C
543,putative glutamate 5-kinase,YHR033W,YHR033W
544,rRNA-processing protein BFR2,BFR2,YDR299W
545,oxysterol-binding protein related protein HES1,HES1,YOR237W
546,Dsk2p,DSK2,YMR276W
547,cleavage polyadenylation factor subunit RNA14,RNA14,YMR061W
548,ESCRT-0 subunit protein HSE1,HSE1,YHL002W
549,Zap1p,ZAP1,YJL056C
550,phenylpyruvate decarboxylase ARO10,ARO10,YDR380W
552,aspartate--tRNA ligase MSD1,MSD1,YPL104W
554,Eap1p,EAP1,YKL204W
555,Tof2p,TOF2,YKR010C
556,chaperonin-containing T-complex subunit CCT2,CCT2,YIL142W
557,mitofusin,FZO1,YBR179C
558,Kar9p,KAR9,YPL269W
559,retromer subunit VPS17,VPS17,YOR132W
560,alcohol dehydrogenase ADH2,ADH2,YMR303C
561,Irc15p,IRC15,YPL017C
562,Fsf1p,FSF1,YOR271C
563,aspartate transaminase AAT2,AAT2,YLR027C
564,Big1p,BIG1,YHR101C
565,ubiquinol--cytochrome-c reductase subunit COR1,COR1,YBL045C
566,cytochrome c lysine N-methyltransferase,CTM1,YHR109W
567,AAA family ATPase CDC48,CDC48,YDL126C
568,serine/threonine protein kinase MEK1,MEK1,YOR351C
569,recombinase RAD52,RAD52,YML032C
570,Avt3p,AVT3,YKL146W
571,hypothetical protein,YBR053C,YBR053C
572,SCF ubiquitin ligase complex subunit HRT3,HRT3,YLR097C
573,Aro80p,ARO80,YDR421W
574,Tif3p,TIF3,YPR163C
576,Tos4p,TOS4,YLR183C
577,hypothetical protein,YDL057W,YDL057W
578,Aim32p,AIM32,YML050W
579,mitogen-activated serine/threonine-protein kinase KSS1,KSS1,YGR040W
580,Pho2p,PHO2,YDL106C
581,chitin synthase CHS2,CHS2,YBR038W
582,ubiquitin-protein ligase peroxin 12,PEX12,YMR026C
583,hypothetical protein,YDL176W,YDL176W
584,Tap42p,TAP42,YMR028W
585,25S rRNA (adenine2142-N1)-methyltransferase,BMT2,YBR141C
586,diphthine synthase,DPH5,YLR172C
587,"1,4-alpha-glucan branching enzyme",GLC3,YEL011W
588,Rpd3L histone deacetylase complex subunit DEP1,DEP1,YAL013W
589,hypothetical protein,YGR266W,YGR266W
590,Pex15p,PEX15,YOL044W
591,ATP-dependent RNA helicase,MSS116,YDR194C
592,nicotinamide-nucleotide adenylyltransferase NMA1,NMA1,YLR328W
593,ribosome biosynthesis protein NSA1,NSA1,YGL111W
594,Mum2p,MUM2,YBR057C
595,sulfate adenylyltransferase,MET3,YJR010W
596,B-type cyclin CLB5,CLB5,YPR120C
597,bifunctional nucleotidase/lysophosphatidic acid phosphatase,PHM8,YER037W
598,hypothetical protein,YNL035C,YNL035C
599,Sag1p,SAG1,YJR004C
600,3-isopropylmalate dehydrogenase,LEU2,YCL018W
601,Sls1p,SLS1,YLR139C
602,SPX domain-containing inorganic phosphate transporter,PHO87,YCR037C
603,mRNA splicing protein SAD1,SAD1,YFR005C
604,Rlf2p,RLF2,YPR018W
605,Sld2p,SLD2,YKL108W
606,Gyp7p,GYP7,YDL234C
607,Atg39p,ATG39,YLR312C
608,inositolphosphotransferase,IPT1,YDR072C
609,HSP70/90 family co-chaperone CNS1,CNS1,YBR155W
610,malate synthase DAL7,DAL7,YIR031C
611,[acyl-carrier-protein] S-malonyltransferase,MCT1,YOR221C
612,hydrolase,EGH1,YIR007W
613,Ppq1p,PPQ1,YPL179W
616,Lot5p,LOT5,YKL183W
617,putative serine/threonine protein kinase SKS1,SKS1,YPL026C
618,Mch2p,MCH2,YKL221W
619,She3p,SHE3,YBR130C
620,hypothetical protein,YJL213W,YJL213W
621,Ybp2p,YBP2,YGL060W
622,Xdj1p,XDJ1,YLR090W
623,mRNA splicing protein PRP46,PRP46,YPL151C
624,calcineurin catalytic subunit A,CNA1,YLR433C
625,Cto1p,CTO1,YCR015C
626,Sfk1p,SFK1,YKL051W
627,Pcl10p,PCL10,YGL134W
628,dolichyl-diphosphooligosaccharide--protein glycotransferase,OST6,YML019W
